BALEF,EF
"Total","HCL,LGN,CRO,LPG,GSL,BGSL,KRS,BKRS,GDO,BGDO,RFO,OLQ,NGS,OGS,NUC,STE,HYD,WND,SOL,BMSWAS,GEO,MET,ETH,H2F,ELC"
"Solids","HCL,LGN"
"Hard coal","HCL"
"Lignite","LGN"
"Coal","HCL,LGN"
"Crude oil and Feedstocks","CRO"
"Liquids","LPG,GSL,BGSL,KRS,BKRS,GDO,BGDO,RFO,OLQ,CRO"
"Fossil Liquids","LPG,GSL,KRS,GDO,RFO,OLQ,CRO"
"Fossil","HCL,LGN,CRO,LPG,GSL,KRS,GDO,RFO,OLQ,NGS,OGS"
"Renewables","HYD,WND,SOL,GEO"
"Other fuels","MET,ETH"
"Liquified petroleum gas","LPG"
"Gasoline","GSL,BGSL"
"Kerosene","KRS,BKRS"
"Diesel oil","GDO,BGDO"
"Fuel oil","RFO"
"Oil","GDO,RFO,CRO,LPG,GSL,KRS,OLQ"
"Other liquids","OLQ"
"Gas","NGS,OGS"
"Natural gas","NGS"
"Derived gases","OGS"
"Nuclear","NUC"
"Heat","STE"
"Hydro","HYD"
"Wind","WND"
"Solar","SOL"
"Biomass","BMSWAS"
"Biofuels","BMSWAS,BGSL,BKRS,BGDO"
"Geothermal","GEO"
"Methanol","MET"
"Hydrogen","H2F"
"Electricity","ELC"